                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.61378,                0.62317,                 1.1992,                0.82234,                0.73412,                0.81685,                0.36848,                 1.6991,                 1.0126,                 2.3219,               0.002674,               0.002674,               0.002674
                     77,                0.58948,                0.58742,                  1.157,                0.75716,                0.82383,                0.81485,                0.35711,                 1.7478,                 1.0385,                 2.3854,               0.002575,               0.002575,               0.002575
                     78,                0.58001,                0.58106,                 1.1626,                 0.8522,                0.83418,                0.85674,                0.39471,                 1.7751,                0.97393,                 2.3948,               0.002476,               0.002476,               0.002476
                     79,                0.59894,                 0.5942,                 1.1799,                0.74952,                0.80393,                0.81184,                0.37332,                  1.787,                 1.1583,                 2.4377,               0.002377,               0.002377,               0.002377
                     80,                0.56577,                 0.5564,                 1.1478,                0.80572,                0.79307,                0.82781,                0.39371,                 1.7275,                 1.0345,                  2.317,               0.002278,               0.002278,               0.002278
                     81,                0.56962,                 0.5964,                 1.1571,                0.76473,                0.75282,                0.79397,                0.39038,                 1.7328,                 1.0946,                 2.3707,               0.002179,               0.002179,               0.002179
                     82,                0.57211,                0.57853,                 1.1512,                0.71584,                0.79906,                0.77512,                0.36972,                 1.7215,                 1.1269,                 2.3154,                0.00208,                0.00208,                0.00208
                     83,                0.55609,                 0.5766,                 1.1592,                0.68929,                0.75239,                0.79004,                0.39415,                 1.6612,                 1.1751,                 2.2762,               0.001981,               0.001981,               0.001981
                     84,                0.53117,                0.54539,                 1.1369,                0.75723,                0.76011,                0.78815,                0.37655,                 1.7555,                 1.0655,                 2.3929,               0.001882,               0.001882,               0.001882
                     85,                0.54107,                0.54995,                  1.141,                0.80148,                0.81554,                0.82946,                0.38318,                 1.7354,                 1.0386,                 2.4475,               0.001783,               0.001783,               0.001783
                     86,                0.55166,                0.56283,                 1.1446,                0.82702,                0.76536,                0.79743,                0.35955,                  1.791,                 1.0574,                 2.4581,               0.001684,               0.001684,               0.001684
                     87,                0.54987,                0.54917,                 1.1293,                 0.6637,                0.78764,                0.70924,                0.32219,                 1.7869,                 1.2705,                 2.4397,               0.001585,               0.001585,               0.001585
                     88,                0.53074,                0.51948,                 1.1219,                0.78449,                0.76544,                0.75971,                0.35282,                 1.7409,                 1.1744,                 2.3523,               0.001486,               0.001486,               0.001486
                     89,                0.52025,                0.53839,                 1.1181,                0.74782,                0.72783,                0.76384,                0.39188,                 1.6757,                 1.1484,                 2.3169,               0.001387,               0.001387,               0.001387
                     90,                0.50637,                0.51878,                 1.0967,                0.73026,                0.79742,                0.73295,                0.36946,                 1.6872,                 1.1709,                 2.3563,               0.001288,               0.001288,               0.001288
                     91,                0.46497,                0.45969,                 1.1094,                0.71955,                0.79925,                0.75396,                0.35273,                 1.7248,                 1.1229,                 2.4886,               0.001189,               0.001189,               0.001189
                     92,                0.46386,                0.38684,                 1.1192,                  0.735,                0.80288,                0.80986,                 0.3547,                 1.8122,                 1.0591,                 2.5561,                0.00109,                0.00109,                0.00109
                     93,                0.42928,                0.34921,                 1.0956,                0.79313,                0.72803,                 0.7775,                0.35924,                 1.7501,                 1.1978,                 2.4013,               0.000991,               0.000991,               0.000991
                     94,                0.42058,                0.32582,                 1.0757,                0.73001,                0.81554,                0.78751,                0.34955,                  1.772,                 1.2351,                 2.4535,               0.000892,               0.000892,               0.000892
                     95,                0.40148,                0.32031,                 1.0389,                0.77269,                0.80395,                0.79193,                0.37197,                 1.7054,                 1.1813,                 2.4204,               0.000793,               0.000793,               0.000793
                     96,                0.40072,                0.31243,                 1.0471,                0.80143,                0.81011,                0.83184,                0.38917,                 1.6811,                 1.0952,                 2.4166,               0.000694,               0.000694,               0.000694
                     97,                0.39921,                0.31078,                 1.0494,                0.84675,                0.79307,                0.84819,                0.38149,                 1.7032,                 1.0819,                 2.5192,               0.000595,               0.000595,               0.000595
                     98,                0.39814,                 0.2925,                 1.0471,                0.77772,                0.80771,                0.85049,                0.36608,                  1.787,                 1.1253,                 2.5281,               0.000496,               0.000496,               0.000496
                     99,                0.37434,                0.31132,                 1.0431,                0.85838,                0.78745,                0.85184,                0.38337,                 1.7061,                 1.0945,                 2.4537,               0.000397,               0.000397,               0.000397
                    100,                0.37805,                0.30338,                 1.0318,                0.81294,                0.79645,                 0.8362,                0.37682,                 1.7447,                 1.1341,                 2.4655,               0.000298,               0.000298,               0.000298
