timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g,grade
2026-07-21T18:36:30.754507,14,0,12,697,1075,0.4359,Not Damaged,1063,95.67,Large,80,A
2026-07-21T18:36:30.836593,14,0,15,658,1064,0.4527,Not Damaged,1049,94.41,Large,80,A
2026-07-21T18:36:30.926689,14,0,30,674,1068,0.3131,Not Damaged,1038,93.42,Large,80,A
2026-07-21T18:36:31.089899,20,0,27,1002,1080,0.4728,Not Damaged,1053,94.77,Large,80,A
2026-07-21T18:36:31.184940,17,1508,2,1920,1070,0.4542,Not Damaged,1068,96.12,Large,80,A
2026-07-21T18:36:31.185021,20,0,30,999,1080,0.5518,Not Damaged,1050,94.5,Large,80,A
2026-07-21T18:36:31.309097,17,1518,2,1920,1071,0.3234,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:31.309181,21,0,100,882,1080,0.7351,Damaged,980,88.2,Large,80,Reject
2026-07-21T18:36:31.443089,17,1504,3,1920,1065,0.3061,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:31.443177,22,3,177,641,1080,0.5658,Not Damaged,903,81.27,Large,80,A
2026-07-21T18:36:31.443201,23,1,174,327,1080,0.548,Not Damaged,906,81.54,Large,80,A
2026-07-21T18:36:31.544609,24,0,190,524,1080,0.4356,Not Damaged,890,80.1,Large,80,A
2026-07-21T18:36:31.627886,22,3,177,599,1080,0.4217,Not Damaged,903,81.27,Large,80,A
2026-07-21T18:36:31.724032,22,2,191,610,1080,0.3533,Not Damaged,889,80.01,Large,80,A
2026-07-21T18:36:31.724111,24,2,178,427,1080,0.3218,Not Damaged,902,81.18,Large,80,A
2026-07-21T18:36:31.838510,22,2,173,613,1080,0.392,Not Damaged,907,81.63,Large,80,A
2026-07-21T18:36:31.919329,22,2,164,640,1080,0.4433,Not Damaged,916,82.44,Large,80,A
2026-07-21T18:36:32.000511,22,2,165,570,1080,0.441,Not Damaged,915,82.35,Large,80,A
2026-07-21T18:36:32.080498,22,2,170,559,1080,0.4725,Not Damaged,910,81.9,Large,80,A
2026-07-21T18:36:32.167524,22,2,184,594,1080,0.5283,Not Damaged,896,80.64,Large,80,A
2026-07-21T18:36:32.252718,22,2,171,592,1080,0.5404,Not Damaged,909,81.81,Large,80,A
2026-07-21T18:36:32.336170,22,3,177,554,1080,0.4122,Not Damaged,903,81.27,Large,80,A
2026-07-21T18:36:32.429462,17,1527,1,1920,1063,0.3169,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:32.429546,23,2,175,403,1080,0.3783,Not Damaged,905,81.45,Large,80,A
2026-07-21T18:36:32.524518,17,1528,2,1920,1063,0.3209,Not Damaged,1061,95.49,Large,80,A
2026-07-21T18:36:32.524597,23,3,177,438,1080,0.3255,Not Damaged,903,81.27,Large,80,A
2026-07-21T18:36:32.524620,25,0,181,777,1080,0.3443,Damaged,899,80.91,Large,80,Reject
2026-07-21T18:36:32.644476,17,1534,4,1920,1062,0.3136,Not Damaged,1058,95.22,Large,80,A
2026-07-21T18:36:32.644557,26,0,187,660,1080,0.4776,Not Damaged,893,80.37,Large,80,A
2026-07-21T18:36:32.761737,17,1536,4,1920,1064,0.416,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:32.761827,22,3,196,492,1080,0.3745,Not Damaged,884,79.56,Large,80,A
2026-07-21T18:36:32.849140,17,1576,4,1920,1066,0.4003,Not Damaged,1062,95.58,Large,80,A
2026-07-21T18:36:32.849225,25,1,184,720,1080,0.3609,Damaged,896,80.64,Large,80,Reject
2026-07-21T18:36:32.971059,17,1582,4,1920,1064,0.5059,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:32.971150,22,3,179,577,1080,0.3197,Damaged,901,81.09,Large,80,Reject
2026-07-21T18:36:33.045238,17,1598,6,1920,1062,0.4739,Not Damaged,1056,95.04,Large,80,A
2026-07-21T18:36:33.127271,17,1592,7,1920,1063,0.4158,Not Damaged,1056,95.04,Large,80,A
2026-07-21T18:36:33.208726,17,1591,7,1920,1064,0.3987,Not Damaged,1057,95.13,Large,80,A
2026-07-21T18:36:33.306087,17,1593,5,1920,1064,0.4648,Not Damaged,1059,95.31,Large,80,A
2026-07-21T18:36:33.306171,22,3,177,593,1080,0.5053,Damaged,903,81.27,Large,80,Reject
2026-07-21T18:36:33.441247,17,1540,3,1920,1072,0.4867,Not Damaged,1069,96.21,Large,80,A
2026-07-21T18:36:33.441338,22,2,172,564,1080,0.3206,Not Damaged,908,81.72,Large,80,A
2026-07-21T18:36:33.441362,23,0,163,477,1080,0.3656,Not Damaged,917,82.53,Large,80,A
2026-07-21T18:36:33.880559,22,1,169,506,1080,0.3115,Not Damaged,911,81.99,Large,80,A
2026-07-21T18:36:34.384941,22,1,183,485,1079,0.3256,Not Damaged,896,80.64,Large,80,A
2026-07-21T18:36:34.467332,22,1,184,531,1080,0.3658,Not Damaged,896,80.64,Large,80,A
2026-07-21T18:36:34.542673,22,1,160,436,1079,0.4707,Not Damaged,919,82.71,Large,80,A
2026-07-21T18:36:34.633683,27,1,184,1068,1080,0.3356,Damaged,1067,96.03,Large,80,Reject
2026-07-21T18:36:34.729369,28,0,167,960,1080,0.3504,Not Damaged,960,86.4,Large,80,A
2026-07-21T18:36:34.835821,26,2,165,596,1080,0.398,Not Damaged,915,82.35,Large,80,A
2026-07-21T18:36:35.088347,26,1,166,606,1080,0.3211,Not Damaged,914,82.26,Large,80,A
2026-07-21T18:36:35.169415,25,0,178,710,1080,0.3077,Not Damaged,902,81.18,Large,80,A
2026-07-21T18:36:35.252933,25,0,173,693,1080,0.3365,Not Damaged,907,81.63,Large,80,A
2026-07-21T18:36:35.334961,25,0,149,598,1080,0.3573,Not Damaged,931,83.79,Large,80,A
2026-07-21T18:36:35.418427,25,0,108,635,1080,0.3275,Not Damaged,972,87.48,Large,80,A
2026-07-21T18:36:35.592142,25,1,109,610,1080,0.3462,Not Damaged,971,87.39,Large,80,A
2026-07-21T18:36:35.668057,29,0,90,742,1080,0.3764,Not Damaged,990,89.1,Large,80,A
2026-07-21T18:36:35.930444,17,1468,2,1920,1059,0.3783,Not Damaged,1057,95.13,Large,80,A
2026-07-21T18:36:35.930522,30,1455,4,1920,1057,0.3299,Not Damaged,1053,94.77,Large,80,A
2026-07-21T18:36:36.002369,31,1102,1,1919,1061,0.6474,Not Damaged,1060,95.4,Large,80,A
2026-07-21T18:36:36.106768,31,1106,3,1920,1058,0.5385,Not Damaged,1055,94.95,Large,80,A
2026-07-21T18:36:36.106856,32,991,5,1918,1058,0.3074,Not Damaged,1053,94.77,Large,80,A
2026-07-21T18:36:36.216047,31,1138,3,1920,1068,0.6588,Damaged,1065,95.85,Large,80,Reject
2026-07-21T18:36:36.305980,17,1459,1,1920,1066,0.5201,Not Damaged,1065,95.85,Large,80,A
2026-07-21T18:36:36.306062,31,1175,1,1920,1069,0.5986,Damaged,1068,96.12,Large,80,Reject
2026-07-21T18:36:36.431328,17,1433,0,1920,1067,0.5313,Not Damaged,1067,96.03,Large,80,A
2026-07-21T18:36:36.431405,31,1114,1,1920,1069,0.608,Damaged,1068,96.12,Large,80,Reject
2026-07-21T18:36:36.570756,17,1456,1,1920,1072,0.3695,Not Damaged,1071,96.39,Large,80,A
2026-07-21T18:36:36.570834,31,1092,0,1919,1073,0.4011,Damaged,1073,96.57,Large,80,Reject
2026-07-21T18:36:36.570859,32,1035,0,1920,1075,0.3152,Damaged,1075,96.75,Large,80,Reject
